categories;phrase;translation
Hrana;kruh;chleb
Hrana;voda;woda
Fraze;ići ću kući;pójdę do domu
Biljke Hrana;šipak;granat
Imenice Priroda;brdo;wzgórze
Imenice Stvari;poklon;podarunek
Hrana Imenice;ručak;obiad
Imenice;tajnica;sekretarka
Pridjevi;sparno;duszno
Imenice Odjeće;odijelo;garnitur
Pridjevi Raspoloženje;tmuran;pochmurny
Prilozi;usmeno;ustnie
Hrana;doručak;śniadanie
Imenice;riječ;słowo
Biljke Hrana Imenice;patlidžan;bakłażan
Imenice Stvari;ulaznica;wejściówka
Imenice Obitelj;stric;stryj/brat ojca
Prilozi;posebno;szczególnie
Imenice;predsjednik;prezydent
Glagoli Odmor Posao;odmoriti se;odpocząć
Prilozi;jednostavno;prosto
Imenice Obitelj;strina;żona stryja
Glagoli Hobi;obožavati;uwielbiać
Glagoli;morati;musieć
Imenice Obitelj;bratić;kuzyn
Imenice Mjesta;izložba;wystawa
Imenice Posao;prodavač;sprzedawca
Glagoli Vrijeme;trajati;trwać
Prilozi Prostor;ispred;przed
Imenice Odjeće;odjeće;odzież (l. poj.)
Prilozi;prema meni;według mnie
Biljke Hrana Imenice;krastavac;ogórek
Kuća Prostor;kod kuće;w domu
Pridjevi;običan;zwykły
Imenice Vrijeme;trenutak;chwila
Imenice Odmor;izlet;wycieczka
Biljke Imenice Priroda;cvijet;kwiat
Prilozi Prostor;iznad;ponad
Imenice Vrijeme;jesen;jesień
Glagoli Pokret;posjetiti;odwiedzić
Svakidašnji Vrijeme;skoro;prawie
Glagoli Svakidašnji Škola;zaboraviti;zapomnieć
Prilozi;naravno;oczywiście
Hrana Imenice Mjesta Trgovina;voćarnica;warzywniak
Hrana Pridjevi;ukusan;smaczny
Imenice Sport Stvari;lopta;piłka
Biljke Hrana Imenice;češnjak;czosnek
Imenice Obitelj;sestrična;kuzynka
Prilozi Vrijeme;zatim;wtedy
Imenice Pokret Stvari;romobil;hulajnoga
Fraze Tijelo;skratiti kosu;ściąć włosy
Biljke Imenice Priroda;cvijetovi;kwiaty
Prilozi;vjerojatno;prawdopodobnie
Fraze Odmor Raspoloženje;opustiti se;zrelaksować się
Prilozi Prostor;kroz;przez
Imenice;rečenica;zdanie
Pridjevi;spreman;gotowy
Glagoli Kuća Posao;spremiti;przygotować
Imenice Vrijeme;proljeće;wiosna
Osobine Pridjevi;ružan;brzydki
Imenice Obitelj;teta;ciotka
Pridjevi Vrijeme;sljedeći;następny
Imenice;posjet;wizyta
Hrana;povrće;warzywa
Biljke Hrana;blitva;burak liściowy
Biljke Hrana;brokula;brokuł
Biljke Hrana Imenice;bundeva;dynia
Hrana;celer;seler
Biljke Hrana;cikla;burak
Biljke Hrana;cvjetača;kalafior
Biljke Hrana;grah;fasola
Biljke Hrana;kopar;koper
Biljke Hrana;krumpir;ziemniak
Biljke Hrana;kukuruz;kukurydza
Biljke Hrana;kupus;kapusta
Biljke Hrana;luk;cebula
Biljke Hrana;mrkva;marchew
Biljke Hrana;paprika;papryka
Biljke Hrana;peršin;pietruszka
Biljke Hrana;poriluk;por
Biljke Hrana;prokulica;brukselka
Biljke Hrana;rajčica;pomidor
Biljke Hrana;rotkvica;rzodkiewka
Hrana;zelena salata;sałata
Biljke Hrana;šparoge;szparagi
Biljke Hrana;špinat;szpinak
Biljke Hrana;tikvica;cukinia
Biljke Hrana;banana;banan
Biljke Hrana;borovnica;borówka / jagoda
Biljke Hrana;breskva;brzoskwinia
Biljke Hrana;dinja;melon
Biljke Hrana;grožđe;winogrono
Biljke Hrana;jabuka;jabłko
Biljke Hrana;jagoda;truskawka
Biljke Hrana;kivi;kiwi
Biljke Hrana;limeta;limonka
Biljke Hrana;limun;cytryna
Biljke Hrana;lubenica;arbuz
Biljke Hrana;malina;malina
Biljke Hrana;mandarina;mandarynka
Biljke Hrana;marelica;morela
Biljke Hrana;naranča;pomarańcza
Biljke Hrana;ribiz;porzeczka
Biljke Hrana;smokva;figa
Biljke Hrana;šljiva;śliwka
Biljke Hrana;trešnja;czereśnia
Biljke Hrana;višnja;wiśnia
Hrana;začini;przyprawy
Biljke Hrana;bosiljak;bazylia
Hrana;sol;sól
Hrana;papar;pieprz
Biljke Hrana;origano;oregano
Hrana;cimet;cynamon
Biljke Hrana;đumbir;imbir
Biljke Hrana;ružmarin;rozmaryn
Biljke Hrana;lovorov list;liść laurowy
Biljke Hrana;majčina dušica;tymianek
Hrana;mliječni proizvodi;produkty mleczne
Hrana;jogurt;jogurt
Hrana;vrhnje;śmietana
Hrana;šlag;śmietanka
Hrana;mlijeko;mleko
Hrana;sir;ser
Hrana;jaje;jajo
Hrana;meso;mięso
Hrana Životinje;piletina;kurczak
Hrana;kobasica;kiełbasa
Hrana;šunka;szynka
Hrana;pršut;suszona szynka
Hrana;hobotnica;ośmiornica
Hrana Životinje;lignje;kalmary
Hrana Životinje;škampi;langustynki
Hrana Životinje;jastog;langusta
Hrana Životinje;hlap;homar
Hrana;školjke;muszle
Hrana Životinje;orada;dorada
Hrana;losos;łosoś
Hrana;pekarski proizvodi;wyroby piekarnicze
Hrana;pecivo;bułka
Hrana;kifla;rogal
Hrana;baget;bagietka
Hrana;burek;ciasto filo wypełnione mięsem
Hrana;komad pizze;kawałek pizzy
Hrana;slatkiši;słodycze
Hrana;čokolada;czekolada
Hrana;sladoled;lody
Hrana;lizalica;lizak
Hrana;bombon;cukierek
Hrana;žvakaća guma;guma do żucia
Hrana;keks;ciasto (małe, jak oreo)
Hrana;torta;tort
Hrana;krafna;pączek
Hrana;grickalice;słone przekąski do chrupania
Hrana;štapići;paluszki
Hrana;krekeri;krakersy
Hrana;čips;czipsy
Hrana;kikiriki;orzeszki ziemne
Hrana;kokice;popcorn
Pridjevi;ostalo;inne
Hrana;med;miód
Hrana;džem;dżem
Hrana;kečap;ketchup
Hrana;majoneza;majonez
Hrana;senf;musztarda
Hrana;šećer;cukier
Hrana;maslinovo ulje;oliwa
Hrana;suncokretovo ulje;olej słonecznikowy
Hrana;brašno;mąka
Biljke Hrana;riža;ryż
Hrana;tjestenina;makaron
Fraze;Bio sam kod svojih roditelja;Byłem u swoich rodziców
Prostor;usred šume;pośrodku lasu
Fraze Mjesta Priroda;Selo je blizu šume;Wieś jest blisko lasu
Imenice Stvari;klopka;pułapka
Fraze;Auto je brz;Auto jest szybkie
Pridjevi;malen;mały
Posao;opasan posao;niebezpieczna praca
Glagoli;pušiti;palić
Fraze;Je li to sve? Je li to to?;Czy to wszystko?
Fraze;To je to. / To je sve.;To wszystko.
Fraze;To je to zasad.;To wszystko na teraz.
Fraze;Kakvo je tvoje iskustvo?;Jakie jest twoje doświadczenie?
Imenice Osobine;kavopija;kawosz
Fraze;Molim kavu s toplim;Poproszę kawę z ciepłym mlekiem
Fraze;Molim kavu s hladnim;Poproszę kawę z zimnym mlekiem
Fraze;Možete li mi donijeti šećer?;Czy może Pan donieść mi cukier?
Fraze;Mogu li zamoliti za šećer?;Czy mogę poprosić o cukier?
Fraze;Možete li mi donijeti žličicu?;Czy może Pan donieść mi łyżeczkę?
Fraze;Mogu li zamoliti za žličicu?;Czy mogę poprosić o łyżeczkę?
Fraze Hrana;za van;na wynos
Prostor;za ovdje;na miejscu (kawa, obiad)
Hrana;cijeđeni sok;sok wyciskany
Hrana Piće;narančada;lemoniada pomarańczowa
Glagoli;nuditi;oferować
Glagoli Posao Trgovina;ponuditi;zaoferować
Imenice Posao;ponuda;oferta
Fraze;Ne volim dimljene stvari;Nie lubię wędzonych rzeczy
Fraze;zbog mirisa;ze względu na zapach
Hrana Pridjevi;bljutav;mdły, bez smaku
Hrana Prilozi;bljutavo;mdłe
Biljke Hrana;začinsko bilje;zioła
Glagoli Hrana;grickati;gryźć
Imenice Piće;krigla;kufel
Hrana Imenice Svakidašnji;čačkalica;wykałaczka
Fraze;Idem u šumu brati gljive.;Idę do lasu zbierać grzyby.
Fraze;Bio sam u šumi brati gljive.;Byłem w lesie zbierać grzyby.
Hrana Imenice Svakidašnji Trgovina;namirnice;artykuły spożywcze
Fraze;Ne znam kakvo će biti vrijeme;Nie wiem jaka będzie pogoda
Fraze;Morali smo izvaditi poplune;Musieliśmy wyciągnąć kołdry
Svakidašnji;bez veze;bez sensu
Osobine Svakidašnji;bitan;ważny
Osobine Posao Pridjevi Trgovina;isplativ;opłacalny
Fraze Vrijeme;i ljeti i zimi;latem i zimą
Hrana Imenice Stvari;mrvica;okruszek
Hrana;krušne mrvice;bułka tarta
Fraze Svakidašnji Trgovina;ići u kupovinu;iść na zakupy
Fraze;ići u trgovinu;iść do sklepu
Imenice Mjesta;ljekarna;apteka
Imenice Mjesta;knjižara;księgarnia
Imenice Svakidašnji Trgovina;dućan;sklep
Imenice Mjesta Trgovina;tržnica;targ
Imenice Mjesta Trgovina;mesnica;sklep mięsny
Svakidašnji;rybny;ribarnica
Imenice Mjesta Trgovina;pekarnica;piekarnia
Mjesta Trgovina;tržni centar;centrum handlowe
Hrana Imenice Trgovina;slastičarnica;cukiernia
Imenice Mjesta Trgovina;drogerija;drogeria
Imenice Mjesta Trgovina;parfumerija;perfumeria
Biljke Imenice Trgovina;cvjećarnica;kwiaciarnia
Imenice Trgovina;papirnica;papierniczy
Imenice Stvari Trgovina;suvenirnica;sklep z pamiątkami
Fraze Vrijeme;dva dana prije;dwa dni wcześniej
Hrana Imenice Piće;kokteli;drinki
Fraze;Volim tajsku kuhinju;Lubię tajską kuchnię
Fraze;Ona zna odlično kuhati;Ona umie świetnie gotować
Fraze Trgovina;obavljati kupovinu;robić zakupy
Fraze;Idem u Lidl.;Idę do Lidla.
Fraze;Kupujem u Lidlu.;Kupuję w Lidlu.
Imenice Stvari;lanac;sieć
Mjesta Trgovina;kvartovski dućan;osiedlowy market / sklep
Pridjevi;ravna;prosta
Hrana;suho vino;wytrawne wino
Hrana;svinjetina;wieprzowina
Hrana;janjetina;jagnięcina
Hrana;teletina;cielęcina
Hrana;hrenovka;parówka
Hrana Priroda Životinje;brancin;okoń morski
Hrana;tuna;tuńczyk
Hrana Životinje;srdele;sardynki
Hrana Životinje;skuša;makrela
Hrana Životinje;šaran;karp
Hrana;pastrva;pstrąg
Fraze Glagoli Posao;misliti o poslu;myśleć o pracy
Odmor Posao;šanker;barman
Imenice Mjesta Piće;šank;bar, lada
Biljke Glagoli Priroda;cvjetati;kwitnąć
Imenice Životinje;cvrčak;cykada
Imenice Životinje;cvrčci;cykady
Biljke Imenice Stvari;kanta za zalijevanje;konewka
Kuća;zaliti biljke;podlać rośliny
Hrana Piće Priroda;izvorska voda;woda źródlana
Imenice Kuća Mjesta;koliba;drewniana chata
Imenice Životinje;krava;krowa
Imenice Mjesta Priroda Životinje;pčelinjak;pasieka
Imenice Priroda;planina;góra
Imenice Sport;košarka;koszykówka
Imenice Sport;nogometaš;piłkarz
Imenice Sport;trening;trening
Imenice Sport;utakmica;mecz
Imenice Stvari;događaj;wydarzenie
Hobi Imenice;glazba;muzyka
Imenice Odmor Pokret;karta;bilet
Fraze Hobi Mjesta;kazališni festival;festiwal teatralny
Hobi Imenice Mjesta;kazalište;teatr
Hobi Imenice;predstava;przedstawienie
Fraze;Danas je ružno vrijeme.;Dzisiaj jest brzydka pogoda.
Fraze;Danas pada kiša.;Dzisiaj pada deszcz.
Fraze;Kiša je stala.;Deszcz przestał padać.
Stvari Svakidašnji;kišan dan;deszczowy dzień
Imenice Mjesta;pakao;piekło
Imenice Svakidašnji;stupanj;stopień
Fraze Priroda;svjež zrak;świeże powietrze
Prilozi;vruće;gorąco
Hrana;doručkovati;jeść śniadanie
Hrana;grčki jogurt;jogurt grecki
Hrana;hladni naresci;wędliny
Hrana;kajgana;jajecznica
Hrana;raskuhati;rozgotować
Hrana;rižine pahuljice;płatki ryżowe
Fraze Higijena;prati podove;myć podłogi
Fraze Higijena;raširiti veš;rozwiesić pranie
Glagoli;čekati;czekać
Glagoli;dešavati se;dziać się
Glagoli Raspoloženje Svakidašnji;nadati se;mieć nadzieję
Glagoli Odmor Raspoloženje;naspavati se;wyspać się
Glagoli;natočiti;nalać
Glagoli;obećati;obiecać
Glagoli;odlučiti se;zdecydować się
Glagoli Posao;odraditi;odrobić coś w innym terminie
Glagoli Hrana Svakidašnji;ogladnjeti;zgłodnieć
Glagoli;počinjati;zaczynać
Glagoli;postati;stać się
Glagoli Pokret;požuriti se;pospieszyć się
Glagoli;raspitati se;rozpytać się
Glagoli Raspoloženje;šaliti se;żartować
Glagoli Odmor Pokret;šetati;spacerować
Glagoli Pokret;spustiti se;zejść
Glagoli Raspoloženje;suosjećati;współczuć
Glagoli Pokret;svratiti;wstąpić gdzieś, do kogoś
Glagoli;ugrabiti;wyrwać
Glagoli Pokret;uhvatiti;złapać
Glagoli Posao;uspjeti;odnieść sukces
Glagoli Pokret;ustati;wstać
Glagoli Odmor Raspoloženje;uživati;dobrze się bawić
Glagoli Tijelo;vidjeti;widzieć
Fraze;Čujemo se malo kasnije!;Do usłyszenia później!
Fraze;Da vidimo…;Zobaczmy…
Imenice Obitelj;dečko;chłopak
Odmor Posao;godišnji odmor;urlop
Raspoloženje Svakidašnji;imati sreće;mieć szczęście
Fraze;Izgleda da…;Wygląda
Prilozi Vrijeme;iznenada;nagle
Pridjevi;jednostavan;prosty
Fraze;Jedva čekam!;Nie mogę się doczekać!
Prilozi Vrijeme;jutros;dziś rano
Fraze;Kakvo iznenađenje!;Co za niespodzianka!
Prilozi Vrijeme;kasno;późno
Prilozi Vrijeme;kasnije;później
Prilozi Vrijeme;ljeti;latem
Prilozi Vrijeme;maloprije;niedawno
Prilozi Vrijeme;napokon;w końcu
Vrijeme;navečer;wieczorem
Prilozi;neizostavan;nieodłączny
Brojevi Svakidašnji;ništa;nic
Osobine;noćna ptica;nocny marek
Fraze;o čemu je riječ?;o czym mowa?
Fraze;o čemu se radi;o co chodzi
Svakidašnji Trgovina;obaviti kupovinu;zrobić zakupy
Pridjevi Raspoloženje;oduševljen;zachwycony
Prilozi Vrijeme;popodne;popołudniu
Fraze Prilozi;potpuno neočekivano;zupełnie niespodziewanie
Fraze Prilozi;prije svega;przede wszystkim
Imenice Posao Trgovina;prijedlog;propozycja
Imenice Stvari;prilog;dodatek, załącznik
Fraze Pokret;promijeniti okolinu;zmienić otoczenie
Prilozi Vrijeme;rano;wcześnie
Prilozi Vrijeme;ranije;wcześniej
Hrana;roštilj;grill
Fraze;S obzirom na to što…;Ze względu na to
Osobine Pridjevi;savršen;idealny
Odmor Posao Vrijeme;slobodan dan;dzień wolny
Prilozi Svakidašnji;što prije;jak najszybciej
Fraze;Što se tiče…;Jeśli chodzi o…
Imenice Svakidašnji;svakodnevnica;codzienność
Prilozi Prostor;svugdje;wszędzie
Vrijeme;tjedan;tydzień
Prilozi Vrijeme;trenutno;chwilowo
Fraze Prostor;u pozadini;w tle
Brojevi;uopće;w ogóle
Prilozi Vrijeme;uskoro;wkrótce
Prilozi;ustvari;w zasadzie
Fraze Pokret Vrijeme;utrka s vremenom;wyścig z czasem
Prostor Svakidašnji;vani;na zewnątrz
Vrijeme;večeras;dziś wieczorem
Svakidašnji;vratiti se kući;wrócić do domu
Fraze Vrijeme;vrijeme je za;czas na… (+akuzativ)
Hobi Imenice;zagonetka;zagadka
Osobine Pridjevi;zreo;dojrzały
Imenice Odmor Vrijeme;praznik;święto
Glagoli;ući;wchodzić
Prilozi Svakidašnji;slučajno;przypadkowo
Imenice Stvari;struj;prąd elektryczny
Prilozi Vrijeme;opet;znowu, ponownie
Imenice;šteta;szkoda
Imenice Stvari;razvlačenje;rozkładanie
Prilozi;stvarno;naprawdę, rzeczywiście, czyżby
Gramatyka;odmień smjeti;smijem, smiješ, smije, smijemo, smijete, smiju
Gramatyka;odmień morati;moram, moraš, mora, moramo, morate, moraju
Gramatyka;odmień htjeti;hoću, hoćeš, hoće, hoćemo, hoćete, hoće
Gramatyka;odmień trebati;trebam, trebaš, treba, trebamo, trebate, trebaju
Gramatyka;odmień moći;mogu, možeš, može, možemo, možete, mogu
Glagoli Svakidašnji;reći;powiedzieć, mówić
Glagoli;kazati;mówić, wymawiać
Prilozi Prostor;van;na zewnątrz
Kuća;unutar;wewnątrz
Hrana;nešto za piti;coś do picia
Prilozi Vrijeme;odmah;natychmiast
